date,value,series,baseline,index
2003-01-01,24831.67297280483,energia,28788.907508208606,86.2543080723871
2003-02-01,24873.19445063669,energia,28788.907508208606,86.3985354204378
2003-03-01,24914.78535726306,energia,28788.907508208606,86.54300393357784
2003-04-01,24963.491222908935,energia,28788.907508208606,86.71218668437166
2003-05-01,25012.29230355724,energia,28788.907508208606,86.88170017019736
2003-06-01,25104.42764906485,energia,28788.907508208606,87.20173782873422
2003-07-01,25196.90238457274,energia,28788.907508208606,87.52295437882916
2003-08-01,25342.830048521897,energia,28788.907508208606,88.02984288756312
2003-09-01,25489.60285140051,energia,28788.907508208606,88.53966703714838
2003-10-01,25684.568098320007,energia,28788.907508208606,89.2168905367338
2003-11-01,25881.02459827037,energia,28788.907508208606,89.89929399332327
2003-12-01,26109.86847139783,energia,28788.907508208606,90.69419693662603
2004-01-01,26340.7358161258,energia,28788.907508208606,91.49612853011266
2004-02-01,26599.013723435964,energia,28788.907508208606,92.39327235968146
2004-03-01,26859.824114191928,energia,28788.907508208606,93.29921292266253
2004-04-01,27098.80787218452,energia,28788.907508208606,94.12933736529534
2004-05-01,27339.91797457684,energia,28788.907508208606,94.96684779296119
2004-06-01,27522.498547463376,energia,28788.907508208606,95.60105238316481
2004-07-01,27706.298424139623,energia,28788.907508208606,96.2394922983434
2004-08-01,27832.39616164037,energia,28788.907508208606,96.67750036608543
2004-09-01,27959.067798951164,energia,28788.907508208606,97.1175019093002
2004-10-01,28055.010692763663,energia,28788.907508208606,97.45076531564914
2004-11-01,28151.282819257947,energia,28788.907508208606,97.78517233150006
2004-12-01,28239.695710705415,energia,28788.907508208606,98.09227982219682
2005-01-01,28328.38627473437,energia,28788.907508208606,98.4003518252892
2005-02-01,28419.489882258713,energia,28788.907508208606,98.71680567994962
2005-03-01,28510.88647743244,energia,28788.907508208606,99.03427724481419
2005-04-01,28597.56402738004,energia,28788.907508208606,99.33535692254385
2005-05-01,28684.5050906235,energia,28788.907508208606,99.63735192953975
2005-06-01,28769.050852180582,energia,28788.907508208606,99.93102671220726
2005-07-01,28853.845807013782,energia,28788.907508208606,100.22556708269204
2005-08-01,28931.501298431955,energia,28788.907508208606,100.49530809803287
2005-09-01,29009.365787132127,energia,28788.907508208606,100.76577507799023
2005-10-01,29065.47655073424,energia,28788.907508208606,100.96067918675544
2005-11-01,29121.69584541617,energia,28788.907508208606,101.15596028474742
2005-12-01,29175.12220516535,energia,28788.907508208606,101.34153995543814
2006-01-01,29228.646580357476,energia,28788.907508208606,101.5274600886591
2006-02-01,29301.86581987425,energia,28788.907508208606,101.78179151646995
2006-03-01,29375.26847729312,energia,28788.907508208606,102.03676005738433
2006-04-01,29466.582321632945,energia,28788.907508208606,102.35394418225532
2006-05-01,29558.180017613915,energia,28788.907508208606,102.67211428285692
2006-06-01,29659.476325713993,energia,28788.907508208606,103.02397309539155
2006-07-01,29761.119777718974,energia,28788.907508208606,103.37703773313787
2006-08-01,29872.872853573044,energia,28788.907508208606,103.76521875675681
2006-09-01,29985.045562493888,energia,28788.907508208606,104.15485740104667
2006-10-01,30121.351000782393,energia,28788.907508208606,104.62832253080067
2006-11-01,30258.276053687456,energia,28788.907508208606,105.1039399291546
2006-12-01,30406.600838234095,energia,28788.907508208606,105.61915498031398
2007-01-01,30555.65270457719,energia,28788.907508208606,106.13689559377977
2007-02-01,30704.397004461684,energia,28788.907508208606,106.65356785667157
2007-03-01,30853.865388592185,energia,28788.907508208606,107.17275526969823
2007-04-01,31013.389372536712,energia,28788.907508208606,107.72687141286565
2007-05-01,31173.738144595623,energia,28788.907508208606,108.28385250710548
2007-06-01,31319.22966593177,energia,28788.907508208606,108.78922604826768
2007-07-01,31465.400213398316,energia,28788.907508208606,109.29695822749285
2007-08-01,31564.461207395187,energia,28788.907508208606,109.64105254218204
2007-09-01,31663.834070316763,energia,28788.907508208606,109.98623015231969
2007-10-01,31725.400711587477,energia,28788.907508208606,110.20008557998106
2007-11-01,31787.08706202894,energia,28788.907508208606,110.4143568246397
2007-12-01,31873.777639265405,energia,28788.907508208606,110.71548175343995
2008-01-01,31960.704641317043,energia,28788.907508208606,111.01742791804121
2008-02-01,32077.812490515982,energia,28788.907508208606,111.424209068613
2008-03-01,32195.34943689847,energia,28788.907508208606,111.83248071403398
2008-04-01,32311.036151626122,energia,28788.907508208606,112.23432546863145
2008-05-01,32427.138560427622,energia,28788.907508208606,112.63761416157124
2008-06-01,32552.583099383304,energia,28788.907508208606,113.0733533049198
2008-07-01,32678.512921131503,energia,28788.907508208606,113.51077810720622
2008-08-01,32726.591253080875,energia,28788.907508208606,113.67778108200012
2008-09-01,32774.74032037878,energia,28788.907508208606,113.84502976027726
2008-10-01,32646.82825084302,energia,28788.907508208606,113.40071950119817
2008-11-01,32519.415391899714,energia,28788.907508208606,112.95814328010685
2008-12-01,32441.1626436372,energia,28788.907508208606,112.68632765723126
2009-01-01,32363.098198040487,energia,28788.907508208606,112.41516611497941
2009-02-01,32315.55116050341,energia,28788.907508208606,112.25000862324926
2009-03-01,32268.0739778598,energia,28788.907508208606,112.08509377668874
2009-04-01,32186.574007615014,energia,28788.907508208606,111.80199873314966
2009-05-01,32105.279883097377,energia,28788.907508208606,111.519618707112
2009-06-01,32150.474264858352,energia,28788.907508208606,111.67660410764549
2009-07-01,32195.732266439754,energia,28788.907508208606,111.8338104954478
2009-08-01,32436.01189277047,energia,28788.907508208606,112.66843621461481
2009-09-01,32678.08474741958,energia,28788.907508208606,113.5092908200912
2009-10-01,32930.320834713406,energia,28788.907508208606,114.38544802481287
2009-11-01,33184.50388567499,energia,28788.907508208606,115.26836812481704
2009-12-01,33428.36271303028,energia,28788.907508208606,116.11542641379782
2010-01-01,33674.013555353886,energia,28788.907508208606,116.96870937444356
2010-02-01,33888.21741432572,energia,28788.907508208606,117.71275934893724
2010-03-01,34103.78384604592,energia,28788.907508208606,118.461542301742
2010-04-01,34282.609964340474,energia,28788.907508208606,119.08270556833547
2010-05-01,34462.37377273795,energia,28788.907508208606,119.70712595784214
2010-06-01,34617.48659819555,energia,28788.907508208606,120.24591967696252
2010-07-01,34773.29757604336,energia,28788.907508208606,120.78713847035849
2010-08-01,34902.79626462507,energia,28788.907508208606,121.23695994602505
2010-09-01,35032.77721722869,energia,28788.907508208606,121.6884565947484
2010-10-01,35132.68273991172,energia,28788.907508208606,122.03548443057211
2010-11-01,35232.87317045114,energia,28788.907508208606,122.38350191095357
