date,value,series
2022-06-01,40951,energia
2022-07-01,41247,energia
2022-08-01,42150,energia
2022-09-01,42327,energia
2022-10-01,42527,energia
2022-11-01,42732,energia
2022-12-01,43237,energia
2023-01-01,42550,energia
2023-02-01,43028,energia
2023-03-01,45730,energia
2023-04-01,44889,energia
2023-05-01,43174,energia
2023-06-01,42667,energia
2023-07-01,42023,energia
2023-08-01,43441,energia
2023-09-01,44487,energia
2023-10-01,46083,energia
2023-11-01,46677,energia
2023-12-01,47235,energia
2003-01-01,70.23938,ibc
2003-02-01,71.46577,ibc
2003-03-01,71.0719,ibc
2003-04-01,70.59053,ibc
2003-05-01,69.89798,ibc
2003-06-01,70.02951,ibc
2003-07-01,69.1619,ibc
2003-08-01,69.69093,ibc
2003-09-01,71.25807,ibc
2003-10-01,71.13821,ibc
2003-11-01,71.32987,ibc
2003-12-01,71.15918,ibc
2004-01-01,72.46354,ibc
2004-02-01,73.23877,ibc
2004-03-01,74.04924,ibc
2004-04-01,74.42395,ibc
2004-05-01,74.34963,ibc
2004-06-01,74.96504,ibc
2004-07-01,75.25411,ibc
2004-08-01,75.60603,ibc
2004-09-01,76.37895,ibc
2004-10-01,75.84789,ibc
2004-11-01,76.6859,ibc
2004-12-01,76.1094,ibc
2005-01-01,76.59363,ibc
2005-02-01,77.06614,ibc
2005-03-01,77.17571,ibc
2005-04-01,77.71617,ibc
2005-05-01,77.64835,ibc
2005-06-01,77.15862,ibc
2005-07-01,77.15349,ibc
2005-08-01,77.74587,ibc
2005-09-01,77.55035,ibc
2005-10-01,77.57973,ibc
2005-11-01,78.20956,ibc
2005-12-01,78.825,ibc
2006-01-01,79.44975,ibc
2006-02-01,79.49232,ibc
2006-03-01,79.38171,ibc
2006-04-01,79.88756,ibc
2006-05-01,80.89624,ibc
2006-06-01,79.95561,ibc
2006-07-01,81.46613,ibc
2006-08-01,81.46537,ibc
2006-09-01,81.66331,ibc
2006-10-01,82.53214,ibc
2006-11-01,83.13073,ibc
2006-12-01,84.17098,ibc
2007-01-01,83.90432,ibc
2007-02-01,84.10084,ibc
2007-03-01,83.58047,ibc
2007-04-01,84.71139,ibc
2007-05-01,85.43905,ibc
2007-06-01,85.956,ibc
2007-07-01,86.58459,ibc
2007-08-01,86.73713,ibc
2007-09-01,87.42676,ibc
2007-10-01,88.26723,ibc
2007-11-01,88.23731,ibc
2007-12-01,89.02285,ibc
2008-01-01,89.15936,ibc
2008-02-01,88.9869,ibc
2008-03-01,88.33783,ibc
2008-04-01,89.58499,ibc
2008-05-01,90.41852,ibc
2008-06-01,91.23337,ibc
2008-07-01,91.25973,ibc
2008-08-01,91.44387,ibc
2008-09-01,91.42616,ibc
2008-10-01,89.59419,ibc
2008-11-01,87.39061,ibc
2008-12-01,85.01162,ibc
2009-01-01,84.8414,ibc
2009-02-01,85.49654,ibc
2009-03-01,86.02971,ibc
2009-04-01,86.39738,ibc
2009-05-01,87.20323,ibc
2009-06-01,87.73552,ibc
2009-07-01,87.94688,ibc
2009-08-01,89.37353,ibc
2009-09-01,90.10765,ibc
2009-10-01,90.81846,ibc
2009-11-01,90.92052,ibc
2009-12-01,92.28337,ibc
2010-01-01,93.64349,ibc
2010-02-01,94.52561,ibc
2010-03-01,95.52652,ibc
2010-04-01,96.00622,ibc
2010-05-01,95.22033,ibc
2010-06-01,94.97856,ibc
2010-07-01,95.55883,ibc
2010-08-01,96.16402,ibc
2010-09-01,97.01382,ibc
2010-10-01,96.86075,ibc
2010-11-01,97.95845,ibc
2010-12-01,96.93179,ibc
2011-01-01,98.13917,ibc
2011-02-01,98.54247,ibc
2011-03-01,98.53389,ibc
2011-04-01,98.62589,ibc
2011-05-01,98.78085,ibc
2011-06-01,99.11391,ibc
2011-07-01,99.26053,ibc
2011-08-01,99.19216,ibc
2011-09-01,99.06673,ibc
2011-10-01,99.00694,ibc
2011-11-01,99.47487,ibc
2011-12-01,98.5296,ibc
2012-01-01,97.326,ibc
2012-02-01,98.26784,ibc
2012-03-01,98.02892,ibc
2012-04-01,98.47809,ibc
2012-05-01,99.61673,ibc
2012-06-01,100.33118,ibc
2012-07-01,100.50283,ibc
2012-08-01,100.8313,ibc
2012-09-01,100.42317,ibc
2012-10-01,101.25774,ibc
2012-11-01,101.11153,ibc
2012-12-01,100.67255,ibc
2013-01-01,101.32331,ibc
2013-02-01,100.35893,ibc
2013-03-01,101.36727,ibc
2013-04-01,102.48931,ibc
2013-05-01,102.64895,ibc
2013-06-01,102.29273,ibc
2013-07-01,102.65475,ibc
2013-08-01,102.96846,ibc
2013-09-01,103.47836,ibc
2013-10-01,103.4262,ibc
2013-11-01,103.70913,ibc
2013-12-01,103.99242,ibc
2014-01-01,103.66722,ibc
2014-02-01,103.37726,ibc
2014-03-01,103.25041,ibc
2014-04-01,102.81405,ibc
2014-05-01,102.44865,ibc
2014-06-01,100.26057,ibc
2014-07-01,101.02757,ibc
2014-08-01,101.91123,ibc
2014-09-01,102.47056,ibc
2014-10-01,101.58429,ibc
2014-11-01,101.77278,ibc
2014-12-01,102.18535,ibc
2015-01-01,101.30483,ibc
